trialResp.keys,trialResp.corr,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,trialResp.rt
,1,0,0,0,0,1,6,0.2,0,,Mr. Black,001,2022-07-21_11h39.45.302,nBackAlpha3,2020.1.3,Win32,60,
space,1,0,1,1,1,1,6,0.2,0,space,Mr. Black,001,2022-07-21_11h39.45.302,nBackAlpha3,2020.1.3,Win32,60,0.6674
,1,0,2,2,2,1,2,0,0.2,,Mr. Black,001,2022-07-21_11h39.45.302,nBackAlpha3,2020.1.3,Win32,60,
,1,0,3,3,3,1,9,0.2,-0.2,,Mr. Black,001,2022-07-21_11h39.45.302,nBackAlpha3,2020.1.3,Win32,60,
space,1,0,4,4,4,1,9,0.2,-0.2,space,Mr. Black,001,2022-07-21_11h39.45.302,nBackAlpha3,2020.1.3,Win32,60,0.5087
,1,0,5,5,5,1,6,0.2,0,,Mr. Black,001,2022-07-21_11h39.45.302,nBackAlpha3,2020.1.3,Win32,60,
,1,0,6,6,6,1,4,-0.2,0,,Mr. Black,001,2022-07-21_11h39.45.302,nBackAlpha3,2020.1.3,Win32,60,
,1,0,7,7,7,1,3,0.2,0.2,,Mr. Black,001,2022-07-21_11h39.45.302,nBackAlpha3,2020.1.3,Win32,60,
space,1,0,8,8,8,1,3,0.2,0.2,space,Mr. Black,001,2022-07-21_11h39.45.302,nBackAlpha3,2020.1.3,Win32,60,0.6171
,1,0,9,9,9,1,8,0,-0.2,,Mr. Black,001,2022-07-21_11h39.45.302,nBackAlpha3,2020.1.3,Win32,60,
,1,0,10,10,10,1,1,-0.2,0.2,,Mr. Black,001,2022-07-21_11h39.45.302,nBackAlpha3,2020.1.3,Win32,60,
,1,0,11,11,11,1,2,0,0.2,,Mr. Black,001,2022-07-21_11h39.45.302,nBackAlpha3,2020.1.3,Win32,60,
,1,0,12,12,12,1,4,-0.2,0,,Mr. Black,001,2022-07-21_11h39.45.302,nBackAlpha3,2020.1.3,Win32,60,
,0,0,13,13,13,1,4,-0.2,0,space,Mr. Black,001,2022-07-21_11h39.45.302,nBackAlpha3,2020.1.3,Win32,60,
,1,0,14,14,14,1,8,0,-0.2,,Mr. Black,001,2022-07-21_11h39.45.302,nBackAlpha3,2020.1.3,Win32,60,
,1,0,15,15,15,1,5,0,0,,Mr. Black,001,2022-07-21_11h39.45.302,nBackAlpha3,2020.1.3,Win32,60,
,0,0,16,16,16,1,5,0,0,space,Mr. Black,001,2022-07-21_11h39.45.302,nBackAlpha3,2020.1.3,Win32,60,
,1,0,17,17,17,1,1,-0.2,0.2,,Mr. Black,001,2022-07-21_11h39.45.302,nBackAlpha3,2020.1.3,Win32,60,
,1,0,18,18,18,1,3,0.2,0.2,,Mr. Black,001,2022-07-21_11h39.45.302,nBackAlpha3,2020.1.3,Win32,60,
,1,0,19,19,19,1,6,0.2,0,,Mr. Black,001,2022-07-21_11h39.45.302,nBackAlpha3,2020.1.3,Win32,60,
,1,0,20,20,20,1,1,-0.2,0.2,,Mr. Black,001,2022-07-21_11h39.45.302,nBackAlpha3,2020.1.3,Win32,60,
,0,0,21,21,21,1,1,-0.2,0.2,space,Mr. Black,001,2022-07-21_11h39.45.302,nBackAlpha3,2020.1.3,Win32,60,
,0,0,22,22,22,1,1,-0.2,0.2,space,Mr. Black,001,2022-07-21_11h39.45.302,nBackAlpha3,2020.1.3,Win32,60,
,1,0,23,23,23,1,3,0.2,0.2,,Mr. Black,001,2022-07-21_11h39.45.302,nBackAlpha3,2020.1.3,Win32,60,
