trialResp.keys,trialResp.corr,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate
,1,0,0,0,0,1,6,0.2,0,,1,001,2023-03-03_17h06.19.172,nBackAlpha3,2020.1.3,Win32,60
,0,0,1,1,1,1,6,0.2,0,space,1,001,2023-03-03_17h06.19.172,nBackAlpha3,2020.1.3,Win32,60
,1,0,2,2,2,1,2,0,0.2,,1,001,2023-03-03_17h06.19.172,nBackAlpha3,2020.1.3,Win32,60
,1,0,3,3,3,1,9,0.2,-0.2,,1,001,2023-03-03_17h06.19.172,nBackAlpha3,2020.1.3,Win32,60
,0,0,4,4,4,1,9,0.2,-0.2,space,1,001,2023-03-03_17h06.19.172,nBackAlpha3,2020.1.3,Win32,60
,1,0,5,5,5,1,6,0.2,0,,1,001,2023-03-03_17h06.19.172,nBackAlpha3,2020.1.3,Win32,60
,1,0,6,6,6,1,4,-0.2,0,,1,001,2023-03-03_17h06.19.172,nBackAlpha3,2020.1.3,Win32,60
,1,0,7,7,7,1,3,0.2,0.2,,1,001,2023-03-03_17h06.19.172,nBackAlpha3,2020.1.3,Win32,60
,0,0,8,8,8,1,3,0.2,0.2,space,1,001,2023-03-03_17h06.19.172,nBackAlpha3,2020.1.3,Win32,60
,1,0,9,9,9,1,8,0,-0.2,,1,001,2023-03-03_17h06.19.172,nBackAlpha3,2020.1.3,Win32,60
,1,0,10,10,10,1,1,-0.2,0.2,,1,001,2023-03-03_17h06.19.172,nBackAlpha3,2020.1.3,Win32,60
,1,0,11,11,11,1,2,0,0.2,,1,001,2023-03-03_17h06.19.172,nBackAlpha3,2020.1.3,Win32,60
,1,0,12,12,12,1,4,-0.2,0,,1,001,2023-03-03_17h06.19.172,nBackAlpha3,2020.1.3,Win32,60
,0,0,13,13,13,1,4,-0.2,0,space,1,001,2023-03-03_17h06.19.172,nBackAlpha3,2020.1.3,Win32,60
,1,0,14,14,14,1,8,0,-0.2,,1,001,2023-03-03_17h06.19.172,nBackAlpha3,2020.1.3,Win32,60
,1,0,15,15,15,1,5,0,0,,1,001,2023-03-03_17h06.19.172,nBackAlpha3,2020.1.3,Win32,60
