trialResp.keys,trialResp.corr,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,trialResp.rt,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials2.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,1,0,0,0,0,1,6,0.2,0,,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,,
space,1,0,1,1,1,1,6,0.2,0,space,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,1.285315,,,,,,,,,,
space,0,0,2,2,2,1,2,0,0.2,,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,1.81918,,,,,,,,,,
,1,0,3,3,3,1,9,0.2,-0.2,,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,,
space,1,0,4,4,4,1,9,0.2,-0.2,space,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,0.73091,,,,,,,,,,
,1,0,5,5,5,1,6,0.2,0,,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,,
space,0,0,6,6,6,1,4,-0.2,0,,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,0.86883,,,,,,,,,,
,1,0,7,7,7,1,3,0.2,0.2,,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,,
space,1,0,8,8,8,1,3,0.2,0.2,space,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,0.717565,,,,,,,,,,
,1,0,9,9,9,1,8,0,-0.2,,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,,
,1,0,10,10,10,1,1,-0.2,0.2,,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,,
,1,0,11,11,11,1,2,0,0.2,,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,,
,1,0,12,12,12,1,4,-0.2,0,,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,,
space,1,0,13,13,13,1,4,-0.2,0,space,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,0.788165,,,,,,,,,,
,1,0,14,14,14,1,8,0,-0.2,,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,,
,1,0,15,15,15,1,5,0,0,,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,,
space,1,0,16,16,16,1,5,0,0,space,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,0.673595,,,,,,,,,,
,1,0,17,17,17,1,1,-0.2,0.2,,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,,
,1,0,18,18,18,1,3,0.2,0.2,,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,,
,1,0,19,19,19,1,6,0.2,0,,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,,
,1,0,20,20,20,1,1,-0.2,0.2,,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,,
,0,0,21,21,21,1,1,-0.2,0.2,space,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,,
space,1,0,22,22,22,1,1,-0.2,0.2,space,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,0.92515,,,,,,,,,,
,1,0,23,23,23,1,3,0.2,0.2,,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,,
,1,0,24,24,24,1,2,0,0.2,,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,,
,1,0,25,25,25,1,1,-0.2,0.2,,1,001,2021-05-18_11h20.37.254,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,,
